category,state_folder,state_count,aida64_item_type,live_works
round,custom-gauges/round/round-01-ink-burst,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/round-02-bubble-ring,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/round-03-sticker-orbit,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/round-04-slash-pop,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/round-05-gel-double,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/round-06-drip-arc,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-01-liquid-stripe/cpu-pop-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-01-liquid-stripe/gpu-violet-pop,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-01-liquid-stripe/cyan-lime-yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-01-liquid-stripe/pink-orange,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-01-liquid-stripe/lime-hot,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-01-liquid-stripe/cool-violet,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-01-liquid-stripe/cream-accent,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-02-capsule-dots/cpu-pop-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-02-capsule-dots/gpu-violet-pop,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-02-capsule-dots/cyan-lime-yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-02-capsule-dots/pink-orange,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-02-capsule-dots/lime-hot,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-02-capsule-dots/cool-violet,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-02-capsule-dots/cream-accent,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-03-splat-slashes/cpu-pop-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-03-splat-slashes/gpu-violet-pop,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-03-splat-slashes/cyan-lime-yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-03-splat-slashes/pink-orange,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
