preset_id,reference_png,aida64_item_type,download_sensor,upload_sensor,x,y,width,height,download_line_color,upload_line_color,background,live_works,png_dynamic,note
dual/dual-01-twin-wave/cyan-pink,network/line-graph-assets/dual/dual-01-twin-wave/dual-01-twin-wave-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-01-twin-wave/cyan-lime,network/line-graph-assets/dual/dual-01-twin-wave/dual-01-twin-wave-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#20e5ff,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-01-twin-wave/blue-orange,network/line-graph-assets/dual/dual-01-twin-wave/dual-01-twin-wave-blue-orange.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-01-twin-wave/violet-lime,network/line-graph-assets/dual/dual-01-twin-wave/dual-01-twin-wave-violet-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#ff36d3,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-01-twin-wave/cream-cyan,network/line-graph-assets/dual/dual-01-twin-wave/dual-01-twin-wave-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff1d7,#20e5ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-01-twin-wave/lime-red,network/line-graph-assets/dual/dual-01-twin-wave/dual-01-twin-wave-lime-red.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-01-twin-wave/pop-mix,network/line-graph-assets/dual/dual-01-twin-wave/dual-01-twin-wave-pop-mix.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-02-split-lane/cyan-pink,network/line-graph-assets/dual/dual-02-split-lane/dual-02-split-lane-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-02-split-lane/cyan-lime,network/line-graph-assets/dual/dual-02-split-lane/dual-02-split-lane-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#20e5ff,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-02-split-lane/blue-orange,network/line-graph-assets/dual/dual-02-split-lane/dual-02-split-lane-blue-orange.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
