preset_id,reference_png,aida64_item_type,sensor,x,y,width,height,line_color,background,live_works,png_dynamic,note
single/single-01-pop-wave/cpu-pop-heat,network/line-graph-assets/Single/single-01-pop-wave/single-01-pop-wave-cpu-pop-heat.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-01-pop-wave/gpu-violet-pop,network/line-graph-assets/Single/single-01-pop-wave/single-01-pop-wave-gpu-violet-pop.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff7a20,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-01-pop-wave/cyan-lime-yellow,network/line-graph-assets/Single/single-01-pop-wave/single-01-pop-wave-cyan-lime-yellow.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-01-pop-wave/pink-orange,network/line-graph-assets/Single/single-01-pop-wave/single-01-pop-wave-pink-orange.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-01-pop-wave/lime-hot,network/line-graph-assets/Single/single-01-pop-wave/single-01-pop-wave-lime-hot.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-01-pop-wave/cool-violet,network/line-graph-assets/Single/single-01-pop-wave/single-01-pop-wave-cool-violet.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-01-pop-wave/cream-accent,network/line-graph-assets/Single/single-01-pop-wave/single-01-pop-wave-cream-accent.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-02-dot-pulse/cpu-pop-heat,network/line-graph-assets/Single/single-02-dot-pulse/single-02-dot-pulse-cpu-pop-heat.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-02-dot-pulse/gpu-violet-pop,network/line-graph-assets/Single/single-02-dot-pulse/single-02-dot-pulse-gpu-violet-pop.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff7a20,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-02-dot-pulse/cyan-lime-yellow,network/line-graph-assets/Single/single-02-dot-pulse/single-02-dot-pulse-cyan-lime-yellow.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
