category,state_folder,state_count,aida64_item_type,live_works
round,custom-gauges/round/gradient-cpu-pink-yellow-lime,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/gradient-gpu-cyan-purple-pink,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/gradient-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/neutral-track-heat-marker,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
round,custom-gauges/round/solid-value-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/barcode/cream,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/barcode/cyan,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/barcode/lime,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/barcode/pink,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/barcode/purple,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/barcode/red,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/barcode/yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/scanline/cream,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/scanline/cyan,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/scanline/lime,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/scanline/pink,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/scanline/purple,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/scanline/red,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/scanline/yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/slash-cut/cream,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/slash-cut/cyan,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/slash-cut/lime,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/slash-cut/pink,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/slash-cut/purple,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/slash-cut/red,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/slash-cut/yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/ticket-strip/cream,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/ticket-strip/cyan,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/ticket-strip/lime,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/ticket-strip/pink,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/ticket-strip/purple,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/ticket-strip/red,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/ticket-strip/yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/waveform/cream,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/waveform/cyan,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/waveform/lime,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/waveform/pink,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/waveform/purple,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/waveform/red,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/waveform/yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
