preset_id,reference_png,aida64_item_type,download_sensor,upload_sensor,x,y,width,height,download_line_color,upload_line_color,background,live_works,png_dynamic,note
dual/01-basic/cream-cyan,network/line-graph-assets/dual/01-basic/01-basic-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#eee8d6,#00d2c4,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/01-basic/cyan-lime,network/line-graph-assets/dual/01-basic/01-basic-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#6af62a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/01-basic/cyan-pink,network/line-graph-assets/dual/01-basic/01-basic-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/01-basic/lime-pink,network/line-graph-assets/dual/01-basic/01-basic-lime-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#6af62a,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/01-basic/purple-yellow,network/line-graph-assets/dual/01-basic/01-basic-purple-yellow.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#8652ff,#fade3a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/01-basic/yellow-purple,network/line-graph-assets/dual/01-basic/01-basic-yellow-purple.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#fade3a,#8652ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/02-crossing/cream-cyan,network/line-graph-assets/dual/02-crossing/02-crossing-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#eee8d6,#00d2c4,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/02-crossing/cyan-lime,network/line-graph-assets/dual/02-crossing/02-crossing-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#6af62a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/02-crossing/cyan-pink,network/line-graph-assets/dual/02-crossing/02-crossing-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/02-crossing/lime-pink,network/line-graph-assets/dual/02-crossing/02-crossing-lime-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#6af62a,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
