preset_id,reference_png,aida64_item_type,sensor,x,y,width,height,line_color,background,live_works,png_dynamic,note
single/clean-wave/cream,network/line-graph-assets/Single/clean-wave/clean-wave-cream.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#eee8d6,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/clean-wave/cyan,network/line-graph-assets/Single/clean-wave/clean-wave-cyan.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#00d2c4,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/clean-wave/lime,network/line-graph-assets/Single/clean-wave/clean-wave-lime.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#6af62a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/clean-wave/pink,network/line-graph-assets/Single/clean-wave/clean-wave-pink.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#ff3484,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/clean-wave/purple,network/line-graph-assets/Single/clean-wave/clean-wave-purple.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#8652ff,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/clean-wave/yellow,network/line-graph-assets/Single/clean-wave/clean-wave-yellow.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#fade3a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/dot-matrix/cream,network/line-graph-assets/Single/dot-matrix/dot-matrix-cream.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#eee8d6,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/dot-matrix/cyan,network/line-graph-assets/Single/dot-matrix/dot-matrix-cyan.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#00d2c4,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/dot-matrix/lime,network/line-graph-assets/Single/dot-matrix/dot-matrix-lime.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#6af62a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/dot-matrix/pink,network/line-graph-assets/Single/dot-matrix/dot-matrix-pink.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#ff3484,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/dot-matrix/purple,network/line-graph-assets/Single/dot-matrix/dot-matrix-purple.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#8652ff,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/dot-matrix/yellow,network/line-graph-assets/Single/dot-matrix/dot-matrix-yellow.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#fade3a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/filled-scan/cream,network/line-graph-assets/Single/filled-scan/filled-scan-cream.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#eee8d6,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/filled-scan/cyan,network/line-graph-assets/Single/filled-scan/filled-scan-cyan.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#00d2c4,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/filled-scan/lime,network/line-graph-assets/Single/filled-scan/filled-scan-lime.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#6af62a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/filled-scan/pink,network/line-graph-assets/Single/filled-scan/filled-scan-pink.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#ff3484,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/filled-scan/purple,network/line-graph-assets/Single/filled-scan/filled-scan-purple.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#8652ff,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/filled-scan/yellow,network/line-graph-assets/Single/filled-scan/filled-scan-yellow.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#fade3a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/spike-trace/cream,network/line-graph-assets/Single/spike-trace/spike-trace-cream.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#eee8d6,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/spike-trace/cyan,network/line-graph-assets/Single/spike-trace/spike-trace-cyan.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#00d2c4,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/spike-trace/lime,network/line-graph-assets/Single/spike-trace/spike-trace-lime.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#6af62a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/spike-trace/pink,network/line-graph-assets/Single/spike-trace/spike-trace-pink.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#ff3484,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/spike-trace/purple,network/line-graph-assets/Single/spike-trace/spike-trace-purple.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#8652ff,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
single/spike-trace/yellow,network/line-graph-assets/Single/spike-trace/spike-trace-yellow.png,Graph,NIC download rate or any single network sensor,872,306,500,112,#fade3a,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,Use PNG as visual reference only; create a native Graph item with this color.
